date_id,full_date,day,month,month_name,quarter,year,day_name,is_weekend,season
20260428,2026-04-28,28,4,April,2,2026,Tuesday,False,Summer
20260429,2026-04-29,29,4,April,2,2026,Wednesday,False,Summer
20260430,2026-04-30,30,4,April,2,2026,Thursday,False,Summer
20260501,2026-05-01,1,5,May,2,2026,Friday,False,Summer
20260502,2026-05-02,2,5,May,2,2026,Saturday,True,Summer
20260503,2026-05-03,3,5,May,2,2026,Sunday,True,Summer
20260504,2026-05-04,4,5,May,2,2026,Monday,False,Summer
20260505,2026-05-05,5,5,May,2,2026,Tuesday,False,Summer
20260506,2026-05-06,6,5,May,2,2026,Wednesday,False,Summer
20260507,2026-05-07,7,5,May,2,2026,Thursday,False,Summer
20260508,2026-05-08,8,5,May,2,2026,Friday,False,Summer
20260509,2026-05-09,9,5,May,2,2026,Saturday,True,Summer
20260510,2026-05-10,10,5,May,2,2026,Sunday,True,Summer
20260511,2026-05-11,11,5,May,2,2026,Monday,False,Summer
20260512,2026-05-12,12,5,May,2,2026,Tuesday,False,Summer
20260513,2026-05-13,13,5,May,2,2026,Wednesday,False,Summer
20260514,2026-05-14,14,5,May,2,2026,Thursday,False,Summer
20260515,2026-05-15,15,5,May,2,2026,Friday,False,Summer
20260516,2026-05-16,16,5,May,2,2026,Saturday,True,Summer
20260517,2026-05-17,17,5,May,2,2026,Sunday,True,Summer
20260518,2026-05-18,18,5,May,2,2026,Monday,False,Summer
20260519,2026-05-19,19,5,May,2,2026,Tuesday,False,Summer
20260520,2026-05-20,20,5,May,2,2026,Wednesday,False,Summer
20260521,2026-05-21,21,5,May,2,2026,Thursday,False,Summer
20260522,2026-05-22,22,5,May,2,2026,Friday,False,Summer
20260523,2026-05-23,23,5,May,2,2026,Saturday,True,Summer
20260524,2026-05-24,24,5,May,2,2026,Sunday,True,Summer
20260525,2026-05-25,25,5,May,2,2026,Monday,False,Summer
20260526,2026-05-26,26,5,May,2,2026,Tuesday,False,Summer
20260527,2026-05-27,27,5,May,2,2026,Wednesday,False,Summer
20260528,2026-05-28,28,5,May,2,2026,Thursday,False,Summer
20260529,2026-05-29,29,5,May,2,2026,Friday,False,Summer
20260530,2026-05-30,30,5,May,2,2026,Saturday,True,Summer
20260531,2026-05-31,31,5,May,2,2026,Sunday,True,Summer
20260601,2026-06-01,1,6,June,2,2026,Monday,False,Monsoon
20260602,2026-06-02,2,6,June,2,2026,Tuesday,False,Monsoon
20260603,2026-06-03,3,6,June,2,2026,Wednesday,False,Monsoon
20260604,2026-06-04,4,6,June,2,2026,Thursday,False,Monsoon
20260605,2026-06-05,5,6,June,2,2026,Friday,False,Monsoon
20260606,2026-06-06,6,6,June,2,2026,Saturday,True,Monsoon
20260607,2026-06-07,7,6,June,2,2026,Sunday,True,Monsoon
20260608,2026-06-08,8,6,June,2,2026,Monday,False,Monsoon
20260609,2026-06-09,9,6,June,2,2026,Tuesday,False,Monsoon
20260610,2026-06-10,10,6,June,2,2026,Wednesday,False,Monsoon
20260611,2026-06-11,11,6,June,2,2026,Thursday,False,Monsoon
20260612,2026-06-12,12,6,June,2,2026,Friday,False,Monsoon
20260613,2026-06-13,13,6,June,2,2026,Saturday,True,Monsoon
20260614,2026-06-14,14,6,June,2,2026,Sunday,True,Monsoon
20260615,2026-06-15,15,6,June,2,2026,Monday,False,Monsoon
20260616,2026-06-16,16,6,June,2,2026,Tuesday,False,Monsoon
20260617,2026-06-17,17,6,June,2,2026,Wednesday,False,Monsoon
20260618,2026-06-18,18,6,June,2,2026,Thursday,False,Monsoon
20260619,2026-06-19,19,6,June,2,2026,Friday,False,Monsoon
20260620,2026-06-20,20,6,June,2,2026,Saturday,True,Monsoon
20260621,2026-06-21,21,6,June,2,2026,Sunday,True,Monsoon
20260622,2026-06-22,22,6,June,2,2026,Monday,False,Monsoon
20260623,2026-06-23,23,6,June,2,2026,Tuesday,False,Monsoon
20260624,2026-06-24,24,6,June,2,2026,Wednesday,False,Monsoon
20260625,2026-06-25,25,6,June,2,2026,Thursday,False,Monsoon
20260626,2026-06-26,26,6,June,2,2026,Friday,False,Monsoon
20260627,2026-06-27,27,6,June,2,2026,Saturday,True,Monsoon
20260628,2026-06-28,28,6,June,2,2026,Sunday,True,Monsoon
20260629,2026-06-29,29,6,June,2,2026,Monday,False,Monsoon
20260630,2026-06-30,30,6,June,2,2026,Tuesday,False,Monsoon
20260701,2026-07-01,1,7,July,3,2026,Wednesday,False,Monsoon
20260702,2026-07-02,2,7,July,3,2026,Thursday,False,Monsoon
20260703,2026-07-03,3,7,July,3,2026,Friday,False,Monsoon
20260704,2026-07-04,4,7,July,3,2026,Saturday,True,Monsoon
20260705,2026-07-05,5,7,July,3,2026,Sunday,True,Monsoon
20260706,2026-07-06,6,7,July,3,2026,Monday,False,Monsoon
20260707,2026-07-07,7,7,July,3,2026,Tuesday,False,Monsoon
20260708,2026-07-08,8,7,July,3,2026,Wednesday,False,Monsoon
20260709,2026-07-09,9,7,July,3,2026,Thursday,False,Monsoon
20260710,2026-07-10,10,7,July,3,2026,Friday,False,Monsoon
20260711,2026-07-11,11,7,July,3,2026,Saturday,True,Monsoon
20260712,2026-07-12,12,7,July,3,2026,Sunday,True,Monsoon
20260713,2026-07-13,13,7,July,3,2026,Monday,False,Monsoon
20260714,2026-07-14,14,7,July,3,2026,Tuesday,False,Monsoon
20260715,2026-07-15,15,7,July,3,2026,Wednesday,False,Monsoon
20260716,2026-07-16,16,7,July,3,2026,Thursday,False,Monsoon
20260717,2026-07-17,17,7,July,3,2026,Friday,False,Monsoon
20260718,2026-07-18,18,7,July,3,2026,Saturday,True,Monsoon
20260719,2026-07-19,19,7,July,3,2026,Sunday,True,Monsoon
20260720,2026-07-20,20,7,July,3,2026,Monday,False,Monsoon
20260721,2026-07-21,21,7,July,3,2026,Tuesday,False,Monsoon
20260722,2026-07-22,22,7,July,3,2026,Wednesday,False,Monsoon
20260723,2026-07-23,23,7,July,3,2026,Thursday,False,Monsoon
20260724,2026-07-24,24,7,July,3,2026,Friday,False,Monsoon
20260725,2026-07-25,25,7,July,3,2026,Saturday,True,Monsoon
20260726,2026-07-26,26,7,July,3,2026,Sunday,True,Monsoon
20260727,2026-07-27,27,7,July,3,2026,Monday,False,Monsoon
20260728,2026-07-28,28,7,July,3,2026,Tuesday,False,Monsoon
20260729,2026-07-29,29,7,July,3,2026,Wednesday,False,Monsoon
20260730,2026-07-30,30,7,July,3,2026,Thursday,False,Monsoon
20260731,2026-07-31,31,7,July,3,2026,Friday,False,Monsoon
20260801,2026-08-01,1,8,August,3,2026,Saturday,True,Monsoon
20260802,2026-08-02,2,8,August,3,2026,Sunday,True,Monsoon
20260803,2026-08-03,3,8,August,3,2026,Monday,False,Monsoon
20260804,2026-08-04,4,8,August,3,2026,Tuesday,False,Monsoon
20260805,2026-08-05,5,8,August,3,2026,Wednesday,False,Monsoon
20260806,2026-08-06,6,8,August,3,2026,Thursday,False,Monsoon
20260807,2026-08-07,7,8,August,3,2026,Friday,False,Monsoon
20260808,2026-08-08,8,8,August,3,2026,Saturday,True,Monsoon
20260809,2026-08-09,9,8,August,3,2026,Sunday,True,Monsoon
20260810,2026-08-10,10,8,August,3,2026,Monday,False,Monsoon
20260811,2026-08-11,11,8,August,3,2026,Tuesday,False,Monsoon
20260812,2026-08-12,12,8,August,3,2026,Wednesday,False,Monsoon
20260813,2026-08-13,13,8,August,3,2026,Thursday,False,Monsoon
20260814,2026-08-14,14,8,August,3,2026,Friday,False,Monsoon
20260815,2026-08-15,15,8,August,3,2026,Saturday,True,Monsoon
20260816,2026-08-16,16,8,August,3,2026,Sunday,True,Monsoon
20260817,2026-08-17,17,8,August,3,2026,Monday,False,Monsoon
20260818,2026-08-18,18,8,August,3,2026,Tuesday,False,Monsoon
20260819,2026-08-19,19,8,August,3,2026,Wednesday,False,Monsoon
20260820,2026-08-20,20,8,August,3,2026,Thursday,False,Monsoon
20260821,2026-08-21,21,8,August,3,2026,Friday,False,Monsoon
20260822,2026-08-22,22,8,August,3,2026,Saturday,True,Monsoon
20260823,2026-08-23,23,8,August,3,2026,Sunday,True,Monsoon
20260824,2026-08-24,24,8,August,3,2026,Monday,False,Monsoon
20260825,2026-08-25,25,8,August,3,2026,Tuesday,False,Monsoon
20260826,2026-08-26,26,8,August,3,2026,Wednesday,False,Monsoon
20260827,2026-08-27,27,8,August,3,2026,Thursday,False,Monsoon
20260828,2026-08-28,28,8,August,3,2026,Friday,False,Monsoon
20260829,2026-08-29,29,8,August,3,2026,Saturday,True,Monsoon
20260830,2026-08-30,30,8,August,3,2026,Sunday,True,Monsoon
20260831,2026-08-31,31,8,August,3,2026,Monday,False,Monsoon
20260901,2026-09-01,1,9,September,3,2026,Tuesday,False,Monsoon
20260902,2026-09-02,2,9,September,3,2026,Wednesday,False,Monsoon
20260903,2026-09-03,3,9,September,3,2026,Thursday,False,Monsoon
20260904,2026-09-04,4,9,September,3,2026,Friday,False,Monsoon
20260905,2026-09-05,5,9,September,3,2026,Saturday,True,Monsoon
20260906,2026-09-06,6,9,September,3,2026,Sunday,True,Monsoon
20260907,2026-09-07,7,9,September,3,2026,Monday,False,Monsoon
20260908,2026-09-08,8,9,September,3,2026,Tuesday,False,Monsoon
20260909,2026-09-09,9,9,September,3,2026,Wednesday,False,Monsoon
20260910,2026-09-10,10,9,September,3,2026,Thursday,False,Monsoon
20260911,2026-09-11,11,9,September,3,2026,Friday,False,Monsoon
20260912,2026-09-12,12,9,September,3,2026,Saturday,True,Monsoon
20260913,2026-09-13,13,9,September,3,2026,Sunday,True,Monsoon
20260914,2026-09-14,14,9,September,3,2026,Monday,False,Monsoon
20260915,2026-09-15,15,9,September,3,2026,Tuesday,False,Monsoon
20260916,2026-09-16,16,9,September,3,2026,Wednesday,False,Monsoon
20260917,2026-09-17,17,9,September,3,2026,Thursday,False,Monsoon
20260918,2026-09-18,18,9,September,3,2026,Friday,False,Monsoon
20260919,2026-09-19,19,9,September,3,2026,Saturday,True,Monsoon
