station_id,network_id,station_name,city,latitude,longitude,max_charger_power_kw,num_chargers,connector_types,operational_status
109,4,Jio-bp Pulse - Delhi NCR Hub 109,Delhi NCR,28.56152,77.282947,60.0,8,CCS2,Active
110,4,Jio-bp Pulse - Ahmedabad Hub 110,Ahmedabad,23.06739,72.676167,120.0,6,"CCS2, CHAdeMO",Active
111,4,Jio-bp Pulse - Jaipur Hub 111,Jaipur,26.959684,75.807793,7.2,2,Type 2,Active
112,4,Jio-bp Pulse - Surat Hub 112,Surat,21.048302,72.791415,50.0,2,"CCS2, CHAdeMO",Active
113,4,Jio-bp Pulse - Kolkata Hub 113,Kolkata,22.502161,88.287097,100.0,8,CCS2,Active
114,4,Jio-bp Pulse - Kolkata Hub 114,Kolkata,22.714503,88.331829,3.3,2,Type 2,Active
115,4,Jio-bp Pulse - Chennai Hub 115,Chennai,13.200314,80.310042,120.0,6,CCS2,Active
116,4,Jio-bp Pulse - Jaipur Hub 116,Jaipur,27.000843,75.788091,3.3,1,Type 2,Active
117,5,Bolt.Earth - Kolkata Hub 117,Kolkata,22.595671,88.361655,50.0,8,CCS2,Active
118,5,Bolt.Earth - Bengaluru Hub 118,Bengaluru,12.880173,77.661336,50.0,4,CCS2,Active
119,5,Bolt.Earth - Surat Hub 119,Surat,21.104432,72.688395,120.0,8,CCS2,Inactive
120,5,Bolt.Earth - Jaipur Hub 120,Jaipur,26.956042,75.690433,150.0,6,CCS2,Active
121,5,Bolt.Earth - Delhi NCR Hub 121,Delhi NCR,28.746038,77.345179,7.2,1,Type 2,Active
122,5,Bolt.Earth - Mumbai Hub 122,Mumbai,19.200459,72.838748,150.0,6,CCS2,Inactive
123,5,Bolt.Earth - Pune Hub 123,Pune,18.375037,73.985196,60.0,2,CCS2,Active
124,5,Bolt.Earth - Mumbai Hub 124,Mumbai,19.054455,73.017696,30.0,4,CCS2,Active
125,5,Bolt.Earth - Kolkata Hub 125,Kolkata,22.711686,88.469803,30.0,8,CCS2,Active
126,5,Bolt.Earth - Hyderabad Hub 126,Hyderabad,17.323335,78.452229,30.0,8,CCS2,Active
127,5,Bolt.Earth - Delhi NCR Hub 127,Delhi NCR,28.719241,77.154077,30.0,2,CCS2,Active
128,5,Bolt.Earth - Surat Hub 128,Surat,21.071048,72.84814,3.3,1,Type 2,Active
129,5,Bolt.Earth - Ahmedabad Hub 129,Ahmedabad,23.153346,72.630209,120.0,8,CCS2,Active
130,5,Bolt.Earth - Kolkata Hub 130,Kolkata,22.593618,88.243053,120.0,6,"CCS2, CHAdeMO",Active
131,5,Bolt.Earth - Bengaluru Hub 131,Bengaluru,13.006102,77.741616,150.0,4,CCS2,Active
132,5,Bolt.Earth - Chennai Hub 132,Chennai,12.974725,80.276199,50.0,2,CCS2,Active
133,6,Zeon Charging - Ahmedabad Hub 133,Ahmedabad,23.135712,72.643631,120.0,2,CCS2,Active
134,6,Zeon Charging - Chennai Hub 134,Chennai,13.141805,80.331445,7.2,1,Type 2,Active
135,6,Zeon Charging - Chennai Hub 135,Chennai,13.040547,80.208778,22.0,4,Type 2,Active
136,6,Zeon Charging - Pune Hub 136,Pune,18.613208,73.949734,120.0,4,CCS2,Under Maintenance
137,6,Zeon Charging - Mumbai Hub 137,Mumbai,19.186122,73.001672,50.0,6,CCS2,Active
138,6,Zeon Charging - Kolkata Hub 138,Kolkata,22.576003,88.364355,150.0,6,CCS2,Active
139,6,Zeon Charging - Kolkata Hub 139,Kolkata,22.662089,88.408889,120.0,8,CCS2,Active
140,6,Zeon Charging - Surat Hub 140,Surat,21.23079,72.919838,30.0,2,CCS2,Inactive
141,6,Zeon Charging - Chennai Hub 141,Chennai,13.199702,80.222099,50.0,8,CCS2,Under Maintenance
142,6,Zeon Charging - Mumbai Hub 142,Mumbai,19.038675,72.755895,7.2,4,Type 2,Active
143,6,Zeon Charging - Delhi NCR Hub 143,Delhi NCR,28.637384,77.069783,100.0,2,CCS2,Active
144,6,Zeon Charging - Hyderabad Hub 144,Hyderabad,17.374679,78.499493,100.0,8,CCS2,Active
145,6,Zeon Charging - Jaipur Hub 145,Jaipur,26.848362,75.81455,30.0,6,CCS2,Active
146,7,Kazam - Ahmedabad Hub 146,Ahmedabad,22.88165,72.432604,3.3,4,Type 2,Active
147,7,Kazam - Kolkata Hub 147,Kolkata,22.66938,88.321957,50.0,8,CCS2,Active
148,7,Kazam - Bengaluru Hub 148,Bengaluru,12.859718,77.601273,120.0,6,CCS2,Active
149,7,Kazam - Kolkata Hub 149,Kolkata,22.653598,88.278646,150.0,4,CCS2,Active
150,7,Kazam - Chennai Hub 150,Chennai,13.119567,80.146304,120.0,4,CCS2,Inactive
151,7,Kazam - Delhi NCR Hub 151,Delhi NCR,28.479405,77.218406,30.0,4,CCS2,Active
152,7,Kazam - Chennai Hub 152,Chennai,13.094891,80.311929,60.0,8,CCS2,Inactive
153,7,Kazam - Pune Hub 153,Pune,18.588227,73.999456,50.0,4,CCS2,Active
154,7,Kazam - Chennai Hub 154,Chennai,13.08759,80.217587,7.2,2,Type 2,Under Maintenance
155,7,Kazam - Jaipur Hub 155,Jaipur,27.000956,75.71855,30.0,6,CCS2,Active
156,7,Kazam - Surat Hub 156,Surat,21.151891,72.704637,7.2,1,Type 2,Active
157,8,Shell Recharge - Kolkata Hub 157,Kolkata,22.430205,88.502695,120.0,8,CCS2,Active
158,8,Shell Recharge - Hyderabad Hub 158,Hyderabad,17.485794,78.545492,22.0,1,Type 2,Active
159,8,Shell Recharge - Pune Hub 159,Pune,18.493086,73.758688,7.2,1,Type 2,Active
160,8,Shell Recharge - Kolkata Hub 160,Kolkata,22.469531,88.288973,7.2,2,Type 2,Inactive
161,8,Shell Recharge - Mumbai Hub 161,Mumbai,19.090768,72.942079,30.0,6,CCS2,Active
162,8,Shell Recharge - Kolkata Hub 162,Kolkata,22.620659,88.29788,100.0,4,CCS2,Active
163,8,Shell Recharge - Mumbai Hub 163,Mumbai,19.21246,72.949069,60.0,8,CCS2,Active
164,8,Shell Recharge - Hyderabad Hub 164,Hyderabad,17.401306,78.520216,22.0,2,Type 2,Under Maintenance
165,8,Shell Recharge - Kolkata Hub 165,Kolkata,22.54848,88.288219,3.3,4,Type 2,Active
166,8,Shell Recharge - Chennai Hub 166,Chennai,13.039492,80.348054,22.0,1,Type 2,Active
167,8,Shell Recharge - Delhi NCR Hub 167,Delhi NCR,28.468218,77.093822,22.0,1,Type 2,Active
168,9,Glida - Chennai Hub 168,Chennai,12.946501,80.132919,3.3,2,Type 2,Active
169,9,Glida - Chennai Hub 169,Chennai,13.189338,80.331797,100.0,8,CCS2,Active
170,9,Glida - Mumbai Hub 170,Mumbai,19.068252,72.75705,30.0,8,CCS2,Active
171,9,Glida - Pune Hub 171,Pune,18.517885,73.848742,120.0,8,CCS2,Active
172,9,Glida - Kolkata Hub 172,Kolkata,22.474561,88.344055,30.0,8,"CCS2, CHAdeMO",Under Maintenance
173,9,Glida - Jaipur Hub 173,Jaipur,26.881951,75.822055,100.0,6,"CCS2, CHAdeMO",Active
174,9,Glida - Ahmedabad Hub 174,Ahmedabad,23.063028,72.434991,100.0,4,"CCS2, CHAdeMO",Inactive
175,9,Glida - Kolkata Hub 175,Kolkata,22.534984,88.401658,100.0,6,CCS2,Inactive
176,9,Glida - Chennai Hub 176,Chennai,13.083641,80.377647,150.0,2,CCS2,Active
177,10,ElectriVa - Bengaluru Hub 177,Bengaluru,13.019208,77.49348,22.0,2,Type 2,Active
178,10,ElectriVa - Chennai Hub 178,Chennai,12.953871,80.313426,3.3,4,Type 2,Active
179,10,ElectriVa - Pune Hub 179,Pune,18.378353,73.882433,120.0,4,CCS2,Active
180,10,ElectriVa - Bengaluru Hub 180,Bengaluru,13.103669,77.617242,100.0,6,CCS2,Active
181,10,ElectriVa - Delhi NCR Hub 181,Delhi NCR,28.580351,77.251986,7.2,4,Type 2,Active
