trip_id,vehicle_id,date_id,start_time,end_time,start_battery_pct,end_battery_pct,distance_km,avg_speed_kmph,driving_mode,terrain,elevation_gain_m,outside_temp_c,ac_usage,traffic_condition,energy_consumed_kwh,estimated_range_km,actual_range_achieved_km,battery_health_pct_at_trip,distance_km_was_outlier,outside_temp_c_was_imputed,avg_speed_kmph_was_imputed,ac_usage_was_imputed,driving_mode_was_imputed
47,2,20260605,2026-06-05 06:47:28.596678093,2026-06-05 07:56:41.154817627,89.2,82.1,24.8,21.5,Eco,Flat,27,30.2,True,Heavy,3.215,310,347,99.71,False,False,False,False,False
48,2,20260607,2026-06-07 07:36:36.122675944,2026-06-07 16:27:51.713227125,82.1,23.9,224.9,25.4,Eco,Mixed,643,31.8,False,Moderate,26.202,289,386,99.7,False,False,False,False,False
49,2,20260608,2026-06-08 09:17:08.465931720,2026-06-09 00:42:26.833278658,94.1,5.0,226.7,14.7,City,Hilly,2205,31.4,True,Heavy,40.095,325,254,99.69,False,False,False,False,False
50,2,20260613,2026-06-13 08:03:30.186033539,2026-06-13 12:08:35.543176396,80.4,5.0,183.0,44.8,Sport,Mixed,221,30.9,True,Moderate,33.93,292,243,99.64,False,False,False,False,False
51,2,20260625,2026-06-25 07:53:19.964859409,2026-06-25 08:11:56.631526075,94.5,92.5,6.7,21.6,Eco,Flat,3,31.8,True,Heavy,0.884,322,341,99.55,False,False,False,False,False
52,2,20260628,2026-06-28 09:20:59.653285532,2026-06-28 17:26:43.037900916,92.5,8.4,263.1,32.5,City,Mixed,932,31.1,True,Light,37.856,314,313,99.53,False,False,False,False,False
53,2,20260628,2026-06-28 20:23:38.474361708,2026-06-29 02:16:21.753050232,81.2,5.0,179.3,30.5,Sport,Mixed,376,31.3,True,Heavy,34.29,280,235,99.52,False,False,False,False,False
54,2,20260630,2026-06-30 09:48:59.610133766,2026-06-30 21:47:43.820660081,89.0,5.0,227.6,19.0,City,Hilly,464,31.5,True,Moderate,37.8,318,271,99.5,False,False,False,False,False
55,2,20260704,2026-07-04 06:40:47.764546580,2026-07-04 07:26:25.091735520,98.6,93.7,16.5,21.7,Eco,Hilly,21,28.2,False,Moderate,2.225,357,334,99.47,False,False,False,False,False
56,2,20260704,2026-07-04 09:55:09.569274481,2026-07-04 16:40:39.680798644,93.7,38.9,181.8,26.9,City,Flat,65,28.7,True,Moderate,24.653,326,332,99.47,False,False,False,False,False
57,2,20260707,2026-07-07 07:10:51.322855919,2026-07-07 10:12:38.253548988,89.3,49.6,91.8,30.3,Sport,Mixed,336,29.8,True,Heavy,17.853,320,231,99.44,False,False,False,False,False
58,2,20260708,2026-07-08 07:24:33.421764028,2026-07-08 12:45:33.421764028,49.6,5.0,128.4,24.0,City,Mixed,203,30.6,True,Moderate,20.07,174,288,99.43,False,False,False,False,False
59,2,20260712,2026-07-12 09:46:36.304551799,2026-07-12 10:09:39.584294564,91.2,82.7,23.9,62.2,Sport,Flat,20,31.0,True,Light,3.826,328,281,99.4,False,False,False,False,False
60,2,20260722,2026-07-22 08:33:15.109456332,2026-07-22 16:52:39.815338684,82.7,20.2,226.4,27.2,Eco,Mixed,481,30.1,False,Moderate,28.13,292,362,99.33,False,False,False,False,False
61,2,20260724,2026-07-24 09:47:02.026835223,2026-07-24 20:00:28.923386947,77.4,20.0,177.9,17.4,Eco,Mixed,319,29.1,True,Heavy,25.818,281,310,99.31,False,False,False,False,False
62,2,20260725,2026-07-25 08:10:40.308405342,2026-07-25 13:47:20.901877152,92.1,16.0,189.1,33.7,Sport,Flat,146,27.9,True,Heavy,34.257,329,248,99.29,False,False,False,False,False
63,2,20260731,2026-07-31 08:09:39.102578829,2026-07-31 15:07:11.932767508,82.4,23.9,221.3,31.8,City,Flat,62,27.7,False,Light,26.323,275,378,99.24,False,False,False,False,False
64,2,20260801,2026-08-01 07:26:53.361222972,2026-08-01 21:32:12.887850190,86.2,10.4,238.1,16.9,City,Mixed,145,27.6,False,Heavy,34.105,310,314,99.23,False,False,False,False,False
65,2,20260802,2026-08-02 08:11:36.332650296,2026-08-02 09:10:02.826156789,71.1,63.9,22.5,23.1,Eco,Hilly,179,26.8,False,Moderate,3.223,240,314,99.22,False,False,False,False,False
66,2,20260806,2026-08-06 07:48:50.384201867,2026-08-06 15:51:00.647359761,63.9,5.0,244.3,30.4,Eco,Flat,60,27.8,False,Moderate,26.505,227,415,99.19,False,False,False,False,False
67,2,20260810,2026-08-10 09:00:04.093203621,2026-08-10 11:27:55.521775049,83.8,35.1,131.1,53.2,Sport,Mixed,115,27.5,False,Light,21.936,287,269,99.15,False,False,False,False,False
68,2,20260810,2026-08-10 14:03:11.106593621,2026-08-10 17:34:21.569227072,35.1,5.0,98.9,28.1,City,Mixed,371,28.7,False,Light,13.545,119,329,99.15,False,False,False,False,False
69,2,20260810,2026-08-10 20:07:04.392810684,2026-08-10 23:12:27.746104097,75.3,22.2,154.8,50.1,Sport,Flat,120,26.4,False,Moderate,23.917,252,291,99.14,False,False,False,False,False
70,2,20260812,2026-08-12 07:41:45.812732827,2026-08-12 09:01:16.897070176,86.1,78.3,22.0,16.6,City,Mixed,34,27.1,True,Heavy,3.506,313,282,99.13,False,False,False,False,False
71,2,20260813,2026-08-13 06:13:08.860202660,2026-08-13 06:51:14.991589521,78.3,72.7,17.4,27.4,Eco,Hilly,102,28.3,True,Light,2.505,273,313,99.12,False,False,False,False,False
72,2,20260813,2026-08-13 07:48:04.054463856,2026-08-13 13:20:45.852216664,72.7,41.2,98.7,17.8,City,Flat,56,28.2,True,Heavy,14.159,247,314,99.12,False,False,False,False,False
73,2,20260813,2026-08-13 15:23:11.212239520,2026-08-13 22:23:59.534387171,41.2,5.0,104.5,14.9,Eco,Hilly,528,29.2,True,Heavy,16.29,137,289,99.11,False,False,False,False,False
74,2,20260818,2026-08-18 09:49:58.416225558,2026-08-18 23:25:06.188246283,100.0,12.8,262.2,19.3,City,Flat,212,25.8,True,Heavy,36.706,329,321,99.08,False,False,False,False,False
75,2,20260822,2026-08-22 06:13:28.878531068,2026-08-22 07:14:51.955454144,79.5,71.6,26.6,26.0,City,Flat,18,24.8,False,Moderate,3.552,277,337,99.04,False,False,False,False,False
76,2,20260824,2026-08-24 09:35:00.625424017,2026-08-24 13:32:00.625424016,71.6,43.6,600.0,24.0,Eco,Hilly,403,26.1,False,Moderate,12.604,248,338,99.02,True,False,False,False,False
77,2,20260829,2026-08-29 07:29:29.068542259,2026-08-29 12:27:18.498594072,81.2,54.9,95.8,19.3,Eco,Mixed,143,27.5,False,Heavy,11.829,286,364,98.99,False,False,False,False,False
78,2,20260830,2026-08-30 09:29:35.227133671,2026-08-30 18:05:24.480865014,54.9,5.0,172.8,20.1,Eco,Mixed,273,26.2,False,Heavy,22.455,196,346,98.98,False,False,False,False,False
79,2,20260914,2026-09-14 06:09:03.563889948,2026-09-14 23:23:45.683095246,98.7,5.0,260.4,15.1,Eco,Hilly,1322,23.9,True,Heavy,42.165,348,278,98.86,False,False,False,False,False
80,2,20260917,2026-09-17 08:16:54.039264440,2026-09-17 12:25:15.010138226,81.8,43.2,127.9,30.9,Eco,Hilly,218,24.5,False,Light,17.365,279,331,98.83,False,False,False,False,False
81,3,20260326,2026-03-26 08:03:12.279426171,2026-03-26 11:08:35.105513127,100.0,55.4,113.7,36.8,Eco,Flat,61,33.1,False,Light,13.368,198,255,93.75,False,False,False,False,False
82,3,20260327,2026-03-27 06:23:46.796991259,2026-03-27 09:48:58.117745975,83.0,51.0,72.5,21.2,Eco,Flat,46,29.2,False,Heavy,9.615,178,226,93.74,False,False,False,False,False
83,3,20260329,2026-03-29 09:45:39.253670514,2026-03-29 10:35:44.115907142,80.4,49.5,51.5,61.7,Sport,Flat,11,30.2,True,Light,9.272,166,167,93.72,False,False,False,False,False
84,3,20260402,2026-04-02 06:00:22.526437440,2026-04-02 07:53:19.634871174,90.8,43.9,62.5,33.2,Sport,Flat,60,35.6,True,Heavy,14.066,178,133,93.69,False,False,False,False,False
85,3,20260402,2026-04-02 09:34:32.811723935,2026-04-02 11:49:03.569846678,43.9,17.7,62.1,27.7,Eco,Flat,52,34.2,True,Moderate,7.846,91,237,93.69,False,False,False,False,False
86,3,20260408,2026-04-08 07:54:50.848871298,2026-04-08 09:17:18.277442726,83.8,56.9,48.1,35.0,City,Flat,23,37.0,True,Light,8.071,171,179,93.64,False,False,False,False,False
87,3,20260410,2026-04-10 07:08:39.996895942,2026-04-10 09:01:02.699598644,91.2,61.9,69.3,37.0,Eco,Flat,79,33.7,True,Light,8.79,182,237,93.63,False,False,False,False,False
88,3,20260410,2026-04-10 10:15:17.451231362,2026-04-10 11:17:57.328719876,61.9,21.8,68.2,65.3,Sport,Flat,23,33.6,True,Light,12.03,122,170,93.62,False,False,False,False,True
89,3,20260411,2026-04-11 09:59:33.368607931,2026-04-11 12:21:31.104456987,76.4,38.2,62.7,26.5,City,Hilly,601,32.7,True,Light,11.472,159,164,93.62,False,False,False,False,False
90,3,20260414,2026-04-14 07:31:53.103384318,2026-04-14 09:17:49.454010436,94.5,23.3,98.7,55.9,Sport,Mixed,186,37.0,True,Light,21.364,190,139,93.59,False,False,False,False,False
91,3,20260418,2026-04-18 06:32:34.489215319,2026-04-18 09:59:49.887445407,98.7,31.9,117.1,33.9,Sport,Flat,104,37.3,True,Light,20.027,199,175,93.56,False,False,False,False,True
92,3,20260426,2026-04-26 06:56:49.001053730,2026-04-26 07:54:20.035536488,78.9,54.4,41.7,43.5,Sport,Flat,23,34.6,False,Moderate,7.344,162,170,93.5,False,False,False,False,False
93,3,20260429,2026-04-29 07:16:05.198454630,2026-04-29 10:15:38.130785457,85.2,45.0,79.6,26.6,City,Flat,22,32.9,True,Moderate,12.057,182,198,93.48,False,False,False,False,False
94,3,20260430,2026-04-30 08:04:20.670714105,2026-04-30 09:23:35.989863041,45.0,5.0,74.5,56.4,Sport,Flat,26,33.4,False,Light,12.0,90,186,93.47,False,False,False,False,False
95,3,20260505,2026-05-05 06:09:53.197970713,2026-05-05 07:27:03.119230555,98.1,74.5,49.0,38.1,Eco,Flat,8,37.4,True,Light,7.086,203,207,93.43,False,False,False,False,False
96,3,20260507,2026-05-07 07:12:30.155226546,2026-05-07 09:06:19.339775902,74.5,48.0,44.2,23.3,City,Mixed,74,35.8,True,Moderate,7.962,159,167,93.41,False,False,False,False,False
97,3,20260509,2026-05-09 07:35:41.519143305,2026-05-09 11:19:30.090571876,99.7,68.3,70.5,18.9,Eco,Flat,80,34.7,True,Heavy,9.432,203,224,93.4,False,False,False,False,False
98,3,20260510,2026-05-10 09:51:02.676272246,2026-05-10 11:08:45.834166982,68.3,44.3,44.3,34.2,Eco,Mixed,158,37.1,True,Light,7.211,135,184,93.39,False,False,False,False,False
99,3,20260510,2026-05-10 12:48:20.588788238,2026-05-10 13:55:38.722662477,44.3,6.1,55.3,49.3,Sport,Flat,47,36.4,True,Moderate,11.46,87,145,93.39,False,False,False,False,False
100,3,20260515,2026-05-15 09:57:22.906088938,2026-05-15 10:55:00.048946080,81.5,39.6,60.5,63.0,Sport,Flat,21,35.5,True,Light,12.574,167,144,93.35,False,False,False,False,False
101,3,20260517,2026-05-17 07:53:41.915765690,2026-05-17 08:53:33.862074414,78.4,43.8,44.6,44.7,Sport,Mixed,69,35.1,True,Moderate,10.372,166,129,93.33,False,False,False,False,False
102,3,20260518,2026-05-18 07:11:56.984132218,2026-05-18 09:50:26.594521828,92.7,42.9,101.7,38.5,Eco,Flat,18,38.4,True,Light,14.935,199,204,93.33,False,False,False,False,False
103,3,20260520,2026-05-20 08:53:08.161617066,2026-05-20 09:39:31.733045637,42.9,13.6,43.3,56.0,Sport,Flat,49,36.6,True,Light,8.777,84,148,93.31,False,False,False,False,False
104,3,20260521,2026-05-21 08:04:29.038246465,2026-05-21 10:01:12.852960361,77.5,22.1,71.4,36.7,Sport,Hilly,511,35.4,False,Moderate,16.612,162,129,93.3,False,False,False,False,True
105,3,20260521,2026-05-21 12:40:02.335233528,2026-05-21 13:38:38.614303295,22.1,5.0,33.6,34.4,City,Flat,29,34.9,True,Light,5.13,45,196,93.3,False,False,False,False,False
106,3,20260524,2026-05-24 07:09:42.518188698,2026-05-24 10:15:33.365646325,74.1,31.1,73.1,23.6,City,Mixed,275,35.7,True,Moderate,12.889,147,170,93.28,False,False,False,False,False
107,3,20260525,2026-05-25 08:20:50.359179419,2026-05-25 10:15:55.813724873,31.1,5.0,42.2,22.0,City,Mixed,134,36.7,True,Moderate,7.83,64,162,93.27,False,False,False,False,False
108,3,20260527,2026-05-27 07:54:35.258694348,2026-05-27 09:48:53.258694348,98.4,74.1,38.1,20.0,City,Hilly,288,36.7,False,Moderate,7.297,210,157,93.25,False,False,False,False,False
109,3,20260528,2026-05-28 06:42:00.932766925,2026-05-28 08:33:21.529781850,74.1,36.8,74.6,40.2,Eco,Flat,83,38.5,True,Light,11.184,145,200,93.24,False,False,False,False,False
110,3,20260528,2026-05-28 11:13:38.264193862,2026-05-28 12:07:25.466666814,36.8,5.0,58.0,64.7,Sport,Flat,60,34.9,False,Light,9.54,73,182,93.24,False,False,False,False,False
111,3,20260529,2026-05-29 08:26:37.744795147,2026-05-29 09:16:19.719044074,95.8,68.1,38.6,46.6,Sport,Flat,43,35.1,True,Moderate,8.307,194,139,93.23,False,False,False,False,False
112,3,20260531,2026-05-31 07:04:04.718308285,2026-05-31 08:10:16.331211510,68.1,36.2,51.3,46.5,Sport,Flat,16,34.8,True,Moderate,9.562,146,161,93.22,False,False,False,False,False
113,3,20260601,2026-06-01 09:04:45.711083397,2026-06-01 09:57:42.564609617,36.2,5.0,48.8,55.3,Sport,Mixed,193,34.1,True,Light,9.36,76,156,93.21,False,False,False,False,False
114,3,20260606,2026-06-06 09:40:08.323777646,2026-06-06 11:09:26.463312529,84.0,59.7,44.8,30.1,City,Mixed,129,33.3,True,Light,7.304,172,184,93.17,False,False,False,False,False
115,3,20260606,2026-06-06 13:24:08.875787863,2026-06-06 17:15:00.304359291,59.7,22.1,80.8,21.0,Eco,Flat,38,33.0,True,Heavy,11.287,119,215,93.17,False,False,False,False,False
116,3,20260607,2026-06-07 06:07:36.982142732,2026-06-07 07:22:07.311813061,90.2,39.2,67.8,54.6,Sport,Mixed,240,37.2,True,Light,15.305,183,133,93.16,False,False,False,False,False
117,3,20260610,2026-06-10 06:42:50.020257659,2026-06-10 07:13:42.110289813,91.3,72.7,32.0,62.2,Sport,Flat,23,33.4,True,Light,5.577,193,172,93.14,False,False,False,False,False
118,3,20260611,2026-06-11 06:59:24.173354454,2026-06-11 08:37:09.149582663,72.7,5.0,102.8,63.1,Sport,Flat,110,35.9,True,Light,20.31,145,152,93.13,False,False,False,False,False
119,3,20260611,2026-06-11 08:59:39.349227753,2026-06-11 11:05:30.118458522,83.1,50.5,81.8,39.0,Eco,Flat,82,33.5,False,Light,9.793,177,251,93.13,False,False,False,False,False
120,3,20260616,2026-06-16 06:42:01.917910980,2026-06-16 08:35:30.153205097,81.9,40.5,64.3,34.0,Sport,Flat,37,34.0,True,Heavy,12.412,162,155,93.09,False,False,False,False,False
121,3,20260619,2026-06-19 06:34:38.665187978,2026-06-19 08:00:21.522330835,81.0,42.2,65.0,45.5,Sport,Flat,15,34.4,True,Moderate,11.63,164,168,93.06,False,False,False,False,False
122,3,20260622,2026-06-22 08:25:11.560027912,2026-06-22 09:49:48.483104835,95.7,69.5,49.5,35.1,City,Flat,23,35.2,True,Light,7.85,190,189,93.04,False,False,False,False,False
123,3,20260623,2026-06-23 06:45:36.341245874,2026-06-23 09:35:14.523064055,69.5,21.7,93.3,33.0,Eco,Mixed,151,36.9,True,Light,14.334,142,195,93.03,False,False,False,False,False
124,3,20260626,2026-06-26 09:12:40.559354208,2026-06-26 10:26:48.385441164,84.0,67.2,34.1,27.6,Eco,Mixed,18,33.3,True,Moderate,5.05,173,203,93.01,False,False,False,False,False
125,3,20260628,2026-06-28 07:10:50.768940111,2026-06-28 11:30:01.144879960,67.2,10.5,114.9,26.6,City,Flat,76,33.5,True,Moderate,16.997,141,203,92.99,False,False,False,False,False
126,3,20260628,2026-06-28 13:45:47.301165367,2026-06-28 16:04:08.332093202,80.8,40.0,67.1,29.1,City,Mixed,199,35.6,True,Light,12.244,165,164,92.99,False,False,False,False,False
127,3,20260628,2026-06-28 16:25:36.090125432,2026-06-28 17:20:28.068735057,40.0,5.0,51.3,56.1,Sport,Mixed,27,35.4,True,Light,10.5,80,147,92.99,False,False,False,False,False
128,3,20260701,2026-07-01 09:38:20.736470382,2026-07-01 15:28:51.244944958,95.3,42.1,103.4,17.7,City,Flat,56,30.0,True,Heavy,15.947,196,195,92.96,False,False,False,False,False
129,3,20260703,2026-07-03 09:23:29.286269254,2026-07-03 10:34:21.917848201,42.1,5.0,60.6,51.3,Sport,Mixed,66,29.5,True,Light,11.13,86,163,92.95,False,False,False,False,False
130,3,20260710,2026-07-10 06:11:10.492378681,2026-07-10 10:18:07.883683028,88.2,22.1,113.6,27.6,City,Hilly,725,31.8,True,Light,19.845,184,172,92.9,False,False,False,False,False
131,3,20260712,2026-07-12 08:45:26.071793049,2026-07-12 10:17:49.168027358,93.5,73.4,36.8,23.9,City,Mixed,95,29.5,True,Moderate,6.041,188,183,92.88,False,False,False,False,False
132,3,20260714,2026-07-14 09:08:03.093201318,2026-07-14 10:49:43.912873449,73.4,23.4,82.7,48.8,Sport,Flat,38,30.9,True,Moderate,14.995,144,165,92.86,False,False,False,False,False
133,3,20260715,2026-07-15 07:04:44.636782647,2026-07-15 08:26:25.477118781,81.1,65.1,32.4,23.8,City,Flat,25,31.8,True,Moderate,4.803,164,202,92.85,False,False,False,False,False
134,3,20260716,2026-07-16 07:10:02.601858667,2026-07-16 08:32:30.325298801,65.1,21.8,81.5,59.3,Sport,Flat,24,33.5,False,Light,12.99,133,188,92.84,False,False,False,False,False
135,3,20260717,2026-07-17 07:49:53.207513842,2026-07-17 12:06:04.636085270,81.7,28.1,107.6,25.2,City,Flat,109,33.2,True,Moderate,16.09,168,201,92.84,False,False,False,False,False
