charging_id,vehicle_id,station_id,date_id,start_time,end_time,start_battery_pct,end_battery_pct,energy_added_kwh,charging_power_kw,charging_time_min,wait_time_min,charging_cost_inr,charging_success,connector_used,energy_added_was_outlier,wait_time_min_was_imputed,charging_cost_inr_was_imputed
19,3,36,20260414,2026-04-14 09:27:46.718212991,2026-04-14 16:51:46.718212991,23.3,98.7,25.467,3.09,444,7.0,308.15,True,TYPE 2,False,False,False
20,3,86,20260510,2026-05-10 14:04:50.236545241,2026-05-10 15:01:50.236545241,6.1,81.5,24.964,24.96,57,5.0,604.13,True,CCS2,False,False,False
21,3,86,20260520,2026-05-20 09:50:42.237726715,2026-05-20 10:48:42.237726715,13.6,77.5,20.783,21.03,58,8.0,457.23,True,CCS2,False,False,False
22,3,139,20260521,2026-05-21 13:51:16.948722196,2026-05-21 14:44:16.948722196,5.0,74.1,23.331,25.47,53,3.0,501.62,True,CCS2,False,False,False
23,3,29,20260528,2026-05-28 12:11:56.132471236,2026-05-28 20:58:56.132471236,5.0,95.8,30.913,3.12,527,2.0,340.04,True,TYPE 2,False,False,False
24,3,114,20260606,2026-06-06 17:29:08.649298107,2026-06-07 00:26:08.649298107,22.1,90.2,23.088,2.98,417,9.0,317.46,True,TYPE 2,False,False,False
25,3,84,20260611,2026-06-11 08:48:57.570435485,2026-06-11 09:47:57.570435485,5.0,83.1,26.111,24.54,59,4.0,574.44,True,CCS2,False,False,False
26,3,125,20260628,2026-06-28 11:32:46.955880192,2026-06-28 12:38:46.955880192,10.5,80.8,23.071,20.77,66,5.0,449.88,True,CCS2,False,False,False
27,3,36,20260710,2026-07-10 10:29:44.884916346,2026-07-10 17:28:44.884916346,22.1,93.5,22.8,3.1,419,5.0,250.8,True,TYPE 2,False,False,False
28,3,58,20260714,2026-07-14 10:56:24.648521379,2026-07-14 11:41:24.648521379,23.4,81.1,19.185,24.25,45,0.0,383.7,True,CCS2,False,False,False
29,3,35,20260716,2026-07-16 08:42:31.326956588,2026-07-16 09:37:31.326956588,21.8,81.7,19.863,21.75,55,7.0,417.12,True,CCS2,False,False,False
30,3,113,20260717,2026-07-17 12:14:27.621789325,2026-07-17 12:59:27.621789325,28.1,74.7,14.758,21.01,45,2.0,339.43,True,CCS2,False,False,False
31,3,138,20260726,2026-07-26 14:17:25.422461420,2026-07-26 14:54:25.422461420,27.9,76.8,16.577,24.91,37,7.0,392.05,True,CCS2,False,False,False
32,3,138,20260828,2026-08-28 08:27:43.354510094,2026-08-28 09:34:43.354510094,5.0,76.2,23.008,20.64,67,0.0,544.14,True,CCS2,False,False,False
33,3,97,20260904,2026-09-04 10:03:15.033891336,2026-09-04 10:43:15.033891336,28.0,79.7,16.783,25.22,40,4.0,369.23,True,CCS2,False,False,False
34,5,133,20260403,2026-04-03 17:20:50.955626306,2026-04-03 18:14:50.955626306,19.5,83.3,32.386,34.6,54,6.0,696.3,True,CCS2,False,False,False
35,5,6,20260601,2026-06-01 10:40:01.994559679,2026-06-01 11:16:01.994559679,29.8,82.6,25.841,44.58,36,2.0,542.66,True,CCS2,False,False,False
36,5,20,20260603,2026-06-03 11:05:42.083940931,2026-06-03 12:02:42.083940931,5.5,81.8,36.38,39.18,57,5.0,763.98,True,CCS2,False,False,False
37,5,20,20260620,2026-06-20 14:53:49.511293840,2026-06-20 15:44:49.511293840,11.0,76.1,32.894,36.97,51,9.0,690.77,True,CCS2,False,False,False
38,5,129,20260710,2026-07-10 14:04:48.693495783,2026-07-10 14:55:48.693495783,12.1,76.9,31.176,37.41,51,1.0,607.93,True,CCS2,False,False,False
39,5,37,20260729,2026-07-29 11:06:05.910251671,2026-07-29 11:57:05.910251671,27.2,83.9,27.694,33.0,51,6.0,581.57,True,CCS2,False,False,False
40,5,31,20260803,2026-08-03 19:22:39.210614927,2026-08-03 23:59:39.210614927,27.7,96.3,33.537,6.79,277,0.0,368.91,True,TYPE 2,False,False,False
41,5,20,20260805,2026-08-05 16:32:09.375036654,2026-08-05 17:15:09.375036654,20.4,71.7,24.913,35.66,43,0.0,523.17,True,CCS2,False,False,False
42,5,133,20260806,2026-08-06 14:15:42.214340734,2026-08-06 14:57:42.214340734,14.1,76.5,29.93,41.75,42,7.0,643.5,True,CCS2,False,False,False
43,5,110,20260917,2026-09-17 16:21:29.001749443,2026-09-17 17:12:29.001749443,8.5,82.0,35.841,42.33,51,0.0,824.34,True,CCS2,False,False,False
44,6,171,20260401,2026-04-01 11:29:56.109641207,2026-04-01 12:06:56.109641207,5.0,74.4,19.072,33.4,37,9.0,362.37,True,CCS2,False,False,False
45,6,80,20260418,2026-04-18 16:56:08.499635996,2026-04-18 20:10:08.499635996,5.2,90.1,24.736,6.96,194,4.0,296.83,True,TYPE 2,False,False,False
46,6,171,20260428,2026-04-28 18:48:16.874385630,2026-04-28 19:25:16.874385630,5.0,71.8,18.468,32.75,37,1.0,350.89,True,CCS2,False,False,False
47,6,65,20260429,2026-04-29 11:41:01.087857345,2026-04-29 12:17:01.087857345,5.0,83.6,23.079,37.56,36,3.0,461.58,True,CCS2,False,False,False
48,6,89,20260430,2026-04-30 14:21:56.044546570,2026-04-30 14:56:56.044546570,5.0,71.5,19.562,34.59,35,5.0,473.4,True,CCS2,False,False,False
49,6,171,20260430,2026-04-30 21:32:10.039112118,2026-04-30 22:04:10.039112118,6.1,83.0,21.896,43.94,32,9.0,416.02,True,CCS2,False,False,False
50,6,51,20260507,2026-05-07 15:02:57.412886442,2026-05-07 15:28:57.412886442,17.6,72.4,15.308,37.43,26,3.0,306.16,True,CCS2,False,False,False
51,6,89,20260511,2026-05-11 12:56:20.404147872,2026-05-11 13:16:20.404147872,21.2,70.3,13.474,44.62,20,1.0,379.48,True,CCS2,False,False,True
52,6,171,20260519,2026-05-19 19:05:46.694497432,2026-05-19 19:36:46.694497432,5.0,71.8,18.569,35.95,31,0.0,352.81,True,CCS2,False,False,False
53,6,101,20260528,2026-05-28 14:12:06.566121088,2026-05-28 14:56:06.566121088,5.0,72.4,19.108,25.95,44,8.0,439.48,True,CCS2,False,False,False
54,6,79,20260603,2026-06-03 16:03:37.484104411,2026-06-03 16:30:37.484104411,5.0,71.9,18.495,42.94,27,4.0,447.58,True,CCS2,False,False,False
55,6,88,20260618,2026-06-18 14:06:36.158570036,2026-06-18 14:39:36.158570036,6.6,81.2,21.418,39.38,33,9.0,518.32,True,CCS2,False,False,False
56,6,79,20260622,2026-06-22 16:42:33.966568594,2026-06-22 17:18:33.966568594,5.0,78.7,21.388,37.09,36,0.0,470.54,True,CCS2,False,False,False
57,6,65,20260629,2026-06-29 11:18:58.410157938,2026-06-29 11:47:58.410157938,5.0,81.3,21.555,44.64,29,4.0,431.1,True,CCS2,False,False,False
58,6,179,20260702,2026-07-02 16:51:18.001536603,2026-07-02 17:19:18.001536603,5.0,74.9,19.225,42.21,28,6.0,384.5,True,CCS2,False,False,False
59,6,123,20260703,2026-07-03 14:25:58.926468447,2026-07-03 14:53:58.926468447,5.0,73.6,19.327,41.74,28,8.0,376.88,True,CCS2,False,False,False
60,6,66,20260708,2026-07-08 17:37:51.083800943,2026-07-08 18:13:51.083800943,5.0,83.0,22.111,36.44,36,5.0,442.22,True,CCS2,False,False,False
61,6,179,20260709,2026-07-09 09:16:40.308003154,2026-07-09 09:49:40.308003154,5.0,78.6,21.03,37.72,33,6.0,420.6,True,CCS2,False,False,False
62,6,67,20260712,2026-07-12 14:17:21.990575598,2026-07-12 14:55:21.990575598,5.0,83.2,21.84,36.47,38,8.0,436.8,True,CCS2,False,False,False
63,6,65,20260715,2026-07-15 12:15:09.427458217,2026-07-15 12:55:09.427458217,5.0,82.7,22.129,34.18,40,1.0,442.58,True,CCS2,False,False,False
64,6,105,20260715,2026-07-15 21:08:25.440106371,2026-07-15 21:39:25.440106371,5.0,81.8,21.79,43.45,31,8.0,551.29,True,CCS2,False,False,False
65,6,88,20260716,2026-07-16 17:14:38.013641665,2026-07-16 17:51:38.013641665,5.0,83.4,21.636,38.17,37,0.0,379.48,True,CCS2,False,False,True
66,6,179,20260724,2026-07-24 11:07:57.420706048,2026-07-24 11:40:57.420706048,21.5,83.2,17.903,32.57,33,4.0,358.06,True,CCS2,False,False,False
67,6,101,20260729,2026-07-29 16:14:14.933204731,2026-07-29 17:15:14.933204731,5.0,77.1,21.086,19.99,61,3.0,484.98,True,CCS2,False,False,False
68,6,65,20260818,2026-08-18 11:48:44.156444952,2026-08-18 12:23:44.156444952,5.0,74.5,20.363,35.2,35,9.0,407.26,True,CCS2,False,True,False
69,6,105,20260822,2026-08-22 09:26:11.142586894,2026-08-22 09:59:11.142586894,5.0,70.7,18.174,36.39,33,3.0,418.0,True,CCS2,False,False,False
70,6,159,20260822,2026-08-22 19:34:14.445555108,2026-08-22 22:27:14.445555108,13.2,86.5,20.771,6.76,173,2.0,270.02,True,TYPE 2,False,False,False
71,6,67,20260824,2026-08-24 17:00:32.203867934,2026-08-24 17:34:32.203867934,5.0,76.8,20.128,38.35,34,4.0,442.82,True,CCS2,False,False,False
72,6,105,20260828,2026-08-28 09:51:41.980284387,2026-08-28 10:22:41.980284387,5.0,76.5,19.588,41.18,31,3.0,450.52,True,CCS2,False,False,False
73,6,67,20260904,2026-09-04 14:25:17.234922237,2026-09-04 14:52:17.234922237,5.0,70.0,18.984,40.45,27,5.0,379.68,True,CCS2,False,False,False
74,6,88,20260906,2026-09-06 14:20:26.862155420,2026-09-06 14:52:26.862155420,5.0,84.5,23.493,43.76,32,9.0,568.53,True,CCS2,False,False,False
75,6,101,20260906,2026-09-07 00:39:58.870954443,2026-09-07 01:18:58.870954443,15.7,80.1,18.812,26.98,39,0.0,432.68,True,CCS2,False,False,False
76,6,79,20260906,2026-09-07 12:57:52.737454755,2026-09-07 13:28:52.737454755,5.0,70.1,18.504,37.81,31,7.0,407.09,True,CCS2,False,False,False
77,6,101,20260906,2026-09-07 23:09:16.067113338,2026-09-07 23:53:16.067113338,5.0,71.3,18.887,26.17,44,9.0,477.84,True,CCS2,False,False,False
78,6,79,20260918,2026-09-18 20:10:17.631091315,2026-09-18 20:41:17.631091315,5.0,75.9,20.505,41.04,31,4.0,451.11,True,CCS2,False,False,False
79,8,123,20260629,2026-06-29 15:02:02.105856813,2026-06-29 15:32:02.105856813,24.3,72.6,20.401,43.71,30,9.0,397.82,True,CCS2,False,True,False
80,8,39,20260819,2026-08-19 11:33:10.470852671,2026-08-19 12:20:10.470852671,5.0,76.9,30.687,38.7,47,5.0,644.43,True,CCS2,False,False,False
81,8,179,20260901,2026-09-01 08:07:54.255106883,2026-09-01 08:42:54.255106883,21.4,72.2,21.951,37.84,35,8.0,439.02,True,CCS2,False,False,False
82,8,105,20260903,2026-09-03 10:29:34.948588430,2026-09-03 11:15:34.948588430,5.0,71.4,27.95,35.98,46,3.0,642.85,True,CCS2,False,False,False
83,10,129,20260714,2026-07-14 10:48:14.009553626,2026-07-14 11:20:14.009553626,24.6,75.3,21.607,41.39,32,6.0,421.34,True,CCS2,False,False,False
84,10,75,20260818,2026-08-18 16:44:50.108505225,2026-08-18 17:32:50.108505225,5.0,83.9,34.95,43.01,48,3.0,699.0,True,CCS2,False,False,False
85,10,146,20260918,2026-09-18 10:39:06.239560113,2026-09-18 21:22:06.239560113,11.3,96.0,37.21,3.17,643,8.0,334.89,True,TYPE 2,False,False,False
86,11,121,20260916,2026-09-16 13:13:04.043787214,2026-09-16 17:50:04.043787214,25.5,96.0,14.961,2.97,277,9.0,157.09,True,TYPE 2,False,False,False
87,12,151,20260708,2026-07-08 16:22:26.896078716,2026-07-08 17:32:26.896078716,32.1,84.2,25.297,20.39,70,15.0,430.05,True,CCS2,False,False,False
88,13,26,20260327,2026-03-27 11:30:48.175055527,2026-03-27 14:06:48.175055527,27.2,96.7,18.033,6.55,156,19.0,198.36,True,TYPE 2,False,False,False
89,13,26,20260402,2026-04-02 10:12:14.236716999,2026-04-02 12:43:14.236716999,26.1,95.8,18.391,6.85,151,11.0,222.53,True,TYPE 2,False,False,False
90,13,143,20260418,2026-04-18 11:09:09.224806957,2026-04-18 12:02:09.224806957,5.0,71.4,17.741,19.53,53,17.0,419.57,True,CCS2,False,False,False
91,13,143,20260502,2026-05-02 12:05:00.918048027,2026-05-02 13:03:00.918048027,5.0,75.3,17.768,19.13,58,17.0,382.01,True,CCS2,False,False,False
92,13,26,20260603,2026-06-03 10:28:21.245485255,2026-06-03 13:51:21.245485255,5.0,97.6,24.121,6.72,203,12.0,291.86,True,TYPE 2,False,False,False
93,13,28,20260614,2026-06-14 17:10:03.892039190,2026-06-14 20:28:03.892039190,6.5,98.4,24.796,6.76,198,9.0,272.76,True,TYPE 2,False,True,False
94,13,73,20260711,2026-07-11 13:17:55.066820133,2026-07-11 16:11:55.066820133,6.7,86.4,20.321,6.76,174,17.0,203.21,True,TYPE 2,False,False,False
95,13,46,20260801,2026-08-01 17:51:04.501959975,2026-08-01 18:59:04.501959975,5.0,82.6,20.466,17.69,68,16.0,409.32,True,CCS2,False,False,False
96,13,19,20260806,2026-08-06 13:56:51.947812808,2026-08-06 14:56:51.947812808,5.0,81.2,19.564,19.34,60,16.0,451.93,True,CCS2,False,False,False
97,13,73,20260807,2026-08-07 18:27:33.645923379,2026-08-07 21:27:33.645923379,5.0,89.4,21.909,6.89,180,9.0,219.09,True,TYPE 2,False,False,False
98,13,21,20260821,2026-08-21 11:00:22.038983726,2026-08-21 12:00:22.038983726,5.0,84.5,20.382,19.93,60,16.0,428.02,True,CCS2,False,False,False
99,13,19,20260831,2026-08-31 07:53:50.911962774,2026-08-31 08:38:50.911962774,18.8,76.2,15.076,19.5,45,14.0,316.6,True,CCS2,False,False,False
100,13,26,20260913,2026-09-13 12:28:07.810026544,2026-09-13 15:39:07.810026544,12.5,98.5,22.616,6.6,191,13.0,273.65,True,TYPE 2,False,False,False
101,14,11,20260323,2026-03-23 16:27:48.228561194,2026-03-23 17:18:48.228561194,5.0,70.9,31.604,38.89,51,5.0,663.68,True,CCS2,False,False,False
102,14,100,20260404,2026-04-04 11:07:55.310744064,2026-04-04 12:13:55.310744064,26.5,80.5,26.836,23.94,66,7.0,617.23,True,CCS2,False,False,False
103,14,49,20260429,2026-04-29 13:40:28.918910125,2026-04-29 14:41:28.918910125,5.0,76.2,34.752,34.0,61,1.0,695.04,True,CCS2,False,False,False
104,14,144,20260604,2026-06-04 11:28:32.387015454,2026-06-04 12:00:32.387015454,29.7,74.7,22.242,42.38,32,7.0,478.2,True,CCS2,False,False,False
105,14,90,20260701,2026-07-01 12:24:39.922001184,2026-07-01 12:59:39.922001184,22.6,71.6,23.473,42.97,35,2.0,568.05,True,CCS2,False,False,False
106,14,70,20260722,2026-07-22 13:57:19.595197269,2026-07-22 14:36:19.595197269,21.0,76.6,28.245,39.85,39,9.0,564.9,True,CCS2,False,True,False
107,14,5,20260817,2026-08-17 13:02:10.713860164,2026-08-17 13:57:10.713860164,15.2,81.6,32.261,34.42,55,6.0,745.23,True,CCS2,False,False,False
108,14,144,20260830,2026-08-30 16:34:13.698561302,2026-08-30 17:22:13.698561302,6.7,72.7,31.568,41.49,48,6.0,678.71,True,CCS2,False,False,False
109,15,137,20260907,2026-09-07 16:26:51.614456670,2026-09-07 17:36:51.614456670,5.0,80.5,50.591,42.07,70,19.0,1087.71,True,CCS2,False,False,False
110,17,15,20260401,2026-04-01 13:38:26.740485984,2026-04-01 16:03:26.740485984,27.1,93.7,17.417,6.72,145,9.0,191.59,True,TYPE 2,False,False,False
111,19,143,20260330,2026-03-30 08:38:58.998518895,2026-03-30 09:32:58.998518895,22.8,82.1,18.861,20.78,54,11.0,405.51,True,CCS2,False,False,False
112,19,109,20260416,2026-04-16 15:52:27.544344971,2026-04-16 16:58:27.544344971,5.0,82.2,24.511,21.58,66,18.0,620.13,True,CCS2,False,False,False
113,19,102,20260419,2026-04-19 09:45:59.963440396,2026-04-19 10:40:59.963440396,17.9,83.0,21.557,21.8,55,14.0,545.39,True,CCS2,False,False,False
114,19,73,20260421,2026-04-21 11:26:22.177938523,2026-04-21 15:28:22.177938523,5.0,96.7,30.61,6.9,242,16.0,306.1,True,TYPE 2,False,False,False
115,19,109,20260425,2026-04-25 12:37:06.973479288,2026-04-25 13:23:06.973479288,25.6,77.4,17.079,21.33,46,10.0,392.82,True,CCS2,False,False,False
116,19,72,20260430,2026-04-30 06:32:16.309492428,2026-04-30 10:26:16.309492428,5.0,90.0,27.568,6.7,234,18.0,303.25,True,TYPE 2,False,False,False
117,19,102,20260506,2026-05-06 13:05:56.698604563,2026-05-06 13:48:56.698604563,25.8,82.8,19.242,25.18,43,14.0,486.82,True,CCS2,False,False,False
118,19,72,20260518,2026-05-18 16:56:10.183046012,2026-05-18 21:17:10.183046012,5.0,98.2,29.913,6.56,261,19.0,299.13,True,TYPE 2,False,False,False
119,19,181,20260519,2026-05-19 10:55:28.079868391,2026-05-19 13:46:28.079868391,27.3,92.4,21.197,6.98,171,12.0,244.83,True,TYPE 2,False,False,False
120,19,38,20260623,2026-06-23 11:54:49.063011389,2026-06-23 12:55:49.063011389,18.6,79.6,20.294,19.78,61,15.0,426.17,True,CCS2,False,False,False
121,19,72,20260628,2026-06-28 11:09:50.111491619,2026-06-28 14:33:50.111491619,20.5,95.6,25.043,6.75,204,18.0,250.43,True,TYPE 2,False,False,False
122,19,73,20260706,2026-07-06 10:18:43.818493161,2026-07-06 13:39:43.818493161,14.9,90.7,24.564,6.98,201,18.0,245.64,True,TYPE 2,False,False,False
123,19,72,20260716,2026-07-16 13:23:33.101778424,2026-07-16 17:38:33.101778424,5.0,98.3,31.469,6.63,255,9.0,314.69,True,TYPE 2,False,False,False
124,19,72,20260810,2026-08-10 07:10:41.259954303,2026-08-10 10:43:41.259954303,5.0,85.4,27.22,6.9,213,19.0,299.42,True,TYPE 2,False,False,False
125,19,28,20260811,2026-08-11 12:04:33.429288207,2026-08-11 15:21:33.429288207,17.7,89.5,23.057,6.73,197,8.0,278.99,True,TYPE 2,False,False,False
126,19,151,20260819,2026-08-19 11:50:47.833093372,2026-08-19 12:43:47.833093372,20.1,79.9,19.381,22.08,53,8.0,362.42,True,CCS2,False,False,False
127,19,46,20260908,2026-09-08 11:07:00.826301657,2026-09-08 12:01:00.826301657,5.0,79.9,23.811,26.02,54,17.0,476.22,True,CCS2,False,False,False
128,19,26,20260909,2026-09-09 16:41:18.423293938,2026-09-09 20:53:18.423293938,5.0,98.2,30.116,6.81,252,16.0,331.28,True,TYPE 2,False,False,False
129,19,104,20260919,2026-09-19 16:03:36.572893244,2026-09-19 17:15:36.572893244,5.0,84.7,26.038,20.75,72,16.0,598.87,True,CCS2,False,False,False
130,20,13,20260422,2026-04-22 11:06:23.149535343,2026-04-22 11:45:23.149535343,34.8,78.9,11.45,17.89,39,4.0,240.45,True,CCS2,False,False,False
131,20,24,20260621,2026-06-21 11:44:00.985917154,2026-06-21 12:32:00.985917154,31.4,81.1,12.569,16.67,48,2.0,263.95,True,CCS2,False,False,False
132,24,19,20260806,2026-08-06 09:16:29.079508541,2026-08-06 10:10:29.079508541,20.7,78.9,36.355,39.19,54,15.0,763.45,True,CCS2,False,False,False
133,24,9,20260830,2026-08-30 11:18:56.889389941,2026-08-30 12:10:56.889389941,23.1,71.9,30.296,32.54,52,11.0,699.84,True,CCS2,False,False,False
134,24,26,20260909,2026-09-09 12:49:33.569429343,2026-09-09 19:15:33.569429343,15.2,91.9,45.462,6.58,386,16.0,500.08,True,TYPE 2,False,False,False
135,25,14,20260407,2026-04-07 07:05:25.373346330,2026-04-07 10:15:25.373346330,25.2,95.3,22.54,6.81,190,15.0,247.94,True,TYPE 2,False,False,False
136,25,92,20260417,2026-04-17 09:49:51.859736547,2026-04-17 13:48:51.859736547,6.1,95.3,29.27,6.87,239,12.0,386.36,True,TYPE 2,False,False,False
137,25,148,20260420,2026-04-20 06:45:27.523182181,2026-04-20 07:26:27.523182181,23.6,77.1,17.002,26.26,41,13.0,289.03,True,CCS2,False,False,False
138,25,177,20260508,2026-05-08 09:48:26.403474363,2026-05-08 13:39:26.403474363,13.2,99.0,27.188,6.77,231,14.0,285.47,True,TYPE 2,False,False,False
139,25,131,20260515,2026-05-15 12:37:04.705844398,2026-05-15 13:35:04.705844398,5.0,83.0,26.466,26.41,58,13.0,516.09,True,CCS2,False,False,False
140,25,180,20260530,2026-05-30 10:01:39.304042613,2026-05-30 10:42:39.304042613,18.4,75.1,18.453,26.9,41,19.0,369.06,True,CCS2,False,False,False
141,25,60,20260601,2026-06-01 12:43:59.354140423,2026-06-01 13:36:59.354140423,22.4,78.3,18.589,19.68,53,9.0,371.78,True,CCS2,False,False,False
142,25,131,20260606,2026-06-06 14:51:59.643957974,2026-06-06 15:53:59.643957974,15.7,82.5,22.109,20.19,62,11.0,474.24,True,CCS2,False,False,False
143,25,76,20260623,2026-06-23 14:22:27.248787547,2026-06-23 15:33:27.248787547,5.0,83.7,25.11,21.61,71,12.0,502.2,True,CCS2,False,False,False
144,25,82,20260701,2026-07-01 13:02:02.004651364,2026-07-01 20:02:02.004651364,25.7,99.9,24.32,3.19,420,11.0,321.02,True,TYPE 2,False,False,False
145,25,131,20260716,2026-07-16 08:27:14.394776881,2026-07-16 09:29:14.394776881,5.0,83.3,26.197,24.28,62,17.0,510.84,True,CCS2,False,False,False
146,25,34,20260728,2026-07-28 08:20:44.837981738,2026-07-28 14:53:44.837981738,25.2,92.2,21.757,3.1,393,9.0,239.33,True,TYPE 2,False,True,False
147,25,76,20260730,2026-07-30 12:49:49.190204131,2026-07-30 13:24:49.190204131,25.1,70.2,15.126,25.07,35,17.0,302.52,True,CCS2,False,False,False
148,25,148,20260820,2026-08-20 10:03:17.997066666,2026-08-20 10:49:17.997066666,23.7,77.3,17.656,21.6,46,17.0,300.15,True,CCS2,False,False,False
149,25,92,20260823,2026-08-23 10:20:08.066838826,2026-08-23 13:30:08.066838826,21.2,93.1,24.058,6.94,190,10.0,288.7,True,TYPE 2,False,False,False
150,25,177,20260826,2026-08-26 12:22:57.574133144,2026-08-26 14:59:57.574133144,27.1,85.7,18.835,6.89,157,17.0,197.77,True,TYPE 2,False,False,False
151,25,118,20260911,2026-09-11 08:45:35.837564124,2026-09-11 09:37:35.837564124,17.4,78.2,19.251,22.53,52,12.0,412.93,True,CCS2,False,False,False
152,26,31,20260621,2026-06-21 12:01:44.974464441,2026-06-21 14:22:44.974464441,33.3,94.8,17.045,6.93,141,8.0,187.5,True,TYPE 2,False,False,False
153,26,146,20260705,2026-07-05 14:24:51.189753610,2026-07-05 18:49:51.189753610,32.1,85.2,14.558,3.15,265,0.0,131.02,True,TYPE 2,False,False,False
154,27,30,20260528,2026-05-28 11:21:56.835516342,2026-05-28 11:44:56.835516342,31.0,70.5,8.028,22.39,23,6.0,168.59,True,CCS2,False,False,False
155,27,30,20260605,2026-06-05 14:45:03.669595204,2026-06-05 15:20:03.669595204,33.6,81.4,10.168,18.51,35,1.0,234.88,True,CCS2,False,False,False
156,27,81,20260722,2026-07-22 14:41:50.670289528,2026-07-22 15:14:50.670289528,29.3,77.8,9.852,18.55,33,5.0,216.74,True,CCS2,False,False,False
157,27,156,20260801,2026-08-01 15:33:40.105190214,2026-08-01 18:58:40.105190214,34.0,86.5,10.654,2.98,205,0.0,95.89,True,TYPE 2,False,False,False
158,28,51,20260826,2026-08-26 13:12:40.684158525,2026-08-26 14:10:40.684158525,5.0,81.4,33.468,34.62,58,3.0,669.36,True,CCS2,False,False,False
159,28,80,20260905,2026-09-05 08:47:35.058620287,2026-09-05 13:15:35.058620287,25.3,98.0,32.837,6.6,268,2.0,394.04,True,TYPE 2,False,False,False
160,28,179,20260909,2026-09-09 13:10:01.113240682,2026-09-09 13:54:01.113240682,5.0,76.0,30.97,40.47,44,6.0,619.4,True,CCS2,False,False,False
161,29,100,20260526,2026-05-26 10:48:21.480747712,2026-05-26 11:23:21.480747712,31.7,70.3,10.422,18.15,35,1.0,239.71,True,CCS2,False,False,False
162,29,5,20260625,2026-06-25 11:14:32.060623217,2026-06-25 12:00:32.060623217,27.8,82.8,14.628,18.34,46,0.0,307.19,True,CCS2,False,False,False
163,30,158,20260408,2026-04-08 14:17:41.438073344,2026-04-08 20:10:41.438073344,5.0,95.4,19.387,2.99,353,9.0,277.23,True,TYPE 2,False,False,False
164,30,90,20260422,2026-04-22 08:52:36.400935611,2026-04-22 09:37:36.400935611,5.0,82.6,16.818,22.19,45,7.0,370.0,True,CCS2,False,False,False
